laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
0,1,0,0,0,13.3,0,0,8,0,0,0,1.37,1339.69
1,2,0,1,0,13.3,1,1,8,1,1,0,1.34,898.94
2,3,1,2,1,15.6,2,2,8,2,2,1,1.86,575.0
3,4,0,0,0,15.4,3,3,16,3,3,0,1.83,2537.45
4,5,0,0,0,13.3,0,4,8,2,4,0,1.37,1803.6
5,6,2,3,1,15.6,4,5,4,4,5,2,2.1,400.0
6,7,0,0,0,15.4,3,6,16,5,6,3,2.04,2139.97
7,8,0,1,0,13.3,1,1,8,5,1,0,1.34,1158.7
8,9,3,4,0,14.0,2,7,16,3,7,2,1.3,1495.0
9,10,2,5,0,14.0,5,8,8,2,8,2,1.6,770.0
10,11,1,2,1,15.6,4,2,4,4,2,1,1.86,393.9
11,12,1,2,1,15.6,2,9,4,4,9,1,1.86,344.99
12,13,0,0,0,15.4,3,10,16,2,10,0,1.83,2439.97
13,14,4,6,1,15.6,2,9,4,2,11,2,2.2,498.9
14,15,0,7,0,12.0,6,11,8,2,12,0,0.92,1262.4
15,16,0,0,0,13.3,0,0,8,2,0,0,1.37,1518.55
16,17,4,6,1,15.6,2,12,8,2,11,2,2.2,745.0
17,18,0,0,0,15.4,3,13,16,3,13,0,1.83,2858.0
18,19,5,8,1,15.6,2,14,8,6,14,1,2.2,499.0
19,20,4,9,0,13.3,7,8,8,0,8,2,1.22,979.0
20,21,3,10,2,11.6,4,15,2,7,15,2,0.98,191.9
21,22,5,11,3,15.6,5,16,8,8,16,2,2.5,999.0
22,23,1,12,1,15.6,4,17,4,4,17,1,1.86,258.0
23,24,4,13,4,13.3,8,8,8,2,8,2,1.62,819.0
24,25,1,14,0,15.6,2,7,8,2,2,2,1.91,659.0
25,26,4,6,1,15.6,4,9,4,6,9,2,2.3,418.64
26,27,0,15,0,13.3,1,18,8,1,1,3,1.35,1099.0
27,28,4,16,1,15.6,2,8,8,2,18,2,2.2,800.0
28,29,4,17,0,15.6,2,19,8,9,8,2,1.88,1298.0
29,30,1,18,1,17.3,2,8,8,6,19,2,2.5,896.0
30,31,6,19,1,15.6,2,20,4,10,20,2,1.89,244.99
31,32,3,20,1,14.0,4,21,2,7,17,2,1.65,199.0
32,33,1,21,1,17.3,2,22,4,4,18,2,2.71,439.0
33,34,4,9,0,13.3,9,7,16,3,8,2,1.2,1869.0
34,35,0,15,0,13.3,1,18,8,5,1,3,1.35,998.0
35,36,5,22,1,14.0,4,23,4,10,21,2,1.44,249.0
36,37,2,3,1,15.6,4,24,4,6,2,4,2.1,367.0
37,38,4,23,1,17.3,5,8,8,8,18,2,2.8,979.0
38,39,1,2,1,15.6,4,2,4,6,2,2,1.86,488.69
39,40,1,24,1,15.6,2,8,8,2,22,2,2.1,879.0
40,41,3,25,1,15.6,2,9,4,6,2,4,2,389.0
41,42,4,26,3,15.6,5,25,16,11,23,2,2.65,1499.0
42,43,3,27,1,15.6,4,2,8,6,14,4,2.3,522.99
43,44,2,28,1,15.6,5,8,4,2,8,2,2.2,682.0
44,45,4,29,4,17.3,8,8,12,6,24,2,2.77,999.0
45,46,0,0,0,13.3,0,26,8,2,25,0,1.37,1419.0
46,47,5,30,1,15.6,4,9,4,0,9,1,2.2,369.0
47,48,3,31,3,17.3,2,27,8,11,26,2,3.2,1299.0
48,49,4,6,1,15.6,2,2,4,2,11,2,2.3,639.0
49,50,3,32,1,17.3,4,28,4,6,27,2,2.8,466.0
50,51,5,33,4,10.1,10,29,4,10,15,5,0.69,319.0
51,52,2,28,1,15.6,5,7,8,2,7,2,2.2,841.0
52,53,1,12,1,15.6,2,22,4,2,28,2,1.86,398.49
53,54,1,34,1,13.3,2,7,8,3,8,2,1.49,1103.0
54,55,2,3,1,15.6,4,14,4,6,2,2,2.4,384.0
55,56,4,35,1,15.6,2,7,8,2,29,2,2.13,767.8
56,57,1,36,1,15.6,2,9,4,0,9,2,1.91,439.0
57,58,3,37,1,15.6,4,2,4,2,2,2,2,586.19
58,59,7,38,3,17.3,2,25,16,12,30,2,2.43,2449.0
59,60,3,39,1,15.6,2,9,4,2,9,4,2,415.0
60,61,4,23,1,17.3,2,7,16,12,18,2,2.8,1299.0
61,62,4,40,0,14.0,2,8,8,2,8,2,1.7,879.0
62,63,5,41,1,14.0,5,24,8,2,2,1,1.7,599.0
63,64,3,42,1,14.0,2,8,8,2,8,2,1.4,941.0
64,66,1,2,1,15.6,2,2,8,2,2,2,1.86,690.0
65,67,3,43,0,15.6,2,25,16,3,31,2,1.8,1983.0
66,68,1,2,1,15.6,4,9,4,4,29,2,1.86,438.69
67,69,1,44,1,14.0,4,30,4,13,15,2,1.44,229.0
68,70,5,45,1,15.6,2,2,4,6,2,2,1.9,549.0
69,71,3,46,3,17.3,2,25,12,6,31,4,3,949.0
70,72,8,47,0,13.5,11,2,4,0,2,6,1.252,1089.0
71,73,4,48,0,13.3,5,7,8,2,18,2,1.4,955.0
72,74,4,16,1,15.6,2,7,8,2,18,2,2.2,870.0
73,75,7,49,3,17.3,2,16,8,8,16,2,2.7,1095.0
74,76,2,50,1,14.0,4,9,8,6,9,2,2.1,389.0
75,77,3,51,3,15.6,2,25,8,6,16,2,2.2,949.0
76,78,5,52,1,15.6,2,2,8,14,2,1,2.2,519.0
77,79,4,16,1,15.6,2,7,8,8,8,2,2.02,855.0
78,80,2,53,1,15.6,2,24,4,6,32,2,2.2,530.0
79,81,1,18,1,17.3,2,8,8,8,19,2,2.5,977.0
80,82,4,17,0,15.6,5,8,8,2,8,2,1.88,1096.16
81,83,0,7,0,12.0,6,31,8,3,12,0,0.92,1510.0
82,84,1,54,1,14.0,2,8,8,2,2,2,1.63,860.0
83,85,5,55,1,15.6,2,22,4,0,33,2,2.2,399.0
84,86,2,3,1,15.6,4,5,4,6,5,2,2.1,395.0
85,87,4,26,3,15.6,5,25,16,8,31,2,2.65,1349.0
86,88,1,56,0,15.6,5,7,8,2,34,2,1.83,699.0
87,89,1,2,1,15.6,2,2,8,2,2,2,1.96,598.99
88,90,3,57,3,15.6,5,25,16,8,23,2,2.2,1449.0
89,91,4,9,0,13.3,5,7,8,2,8,2,1.21,1649.0
90,92,3,58,3,15.6,2,32,8,6,35,2,2.45,699.0
91,93,2,59,1,15.6,2,7,8,6,7,2,2.2,689.0
92,94,1,60,1,13.3,2,7,16,3,8,2,1.49,1197.0
93,95,4,26,3,15.6,2,16,8,2,23,2,2.65,1195.0
94,96,3,61,0,14.0,2,12,8,2,2,2,1.25,1049.0
95,97,2,62,4,13.3,7,8,8,2,8,2,1.5,847.0
96,98,4,6,1,15.6,2,12,8,6,11,4,2.2,599.9
97,99,4,6,1,15.6,2,9,4,2,11,4,2.2,485.0
98,100,3,63,1,15.6,2,14,6,2,36,2,2,577.0
99,102,1,64,3,15.6,5,25,12,8,16,2,2.62,1249.0
100,103,1,65,1,15.6,2,12,8,2,18,2,1.91,719.0
101,104,1,66,1,15.6,2,17,4,4,17,2,2.1,349.0
102,105,4,35,1,15.6,2,8,8,6,29,4,2.2,647.0
103,106,1,67,0,13.3,5,12,8,2,7,2,1.38,1119.0
104,107,8,47,0,13.5,11,2,8,2,2,6,1.252,1340.0
105,108,1,68,1,14.0,5,2,6,2,14,2,1.58,659.0
106,109,5,69,1,15.6,2,9,4,6,9,2,1.85,414.9
107,110,3,70,0,14.0,5,12,8,2,14,2,1.3,1193.0
108,111,7,71,3,15.6,2,25,16,11,31,2,2.2,1299.0
109,112,5,72,1,14.0,5,12,8,2,2,2,1.58,1480.0
110,113,3,73,0,15.6,2,7,16,11,7,2,1.5,1262.0
111,114,4,9,0,13.3,12,33,8,2,0,2,1.23,1379.0
